model,entite,famille,mape,mase,mae,rmse
Sarima,Entite 1,F2,6.78286586275875,0.7290180910838,0.060479179564107116,0.06833116326926987
Sarima,Entite 2,F2,25.293152816733965,0.6721167159004114,0.08315103247016555,0.10668851991835654
Sarima,Entite 3,F2,13.002075665306847,0.8830308775149119,0.10656580759704051,0.14831298235034474
Sarima,Entite 5,F2,8.478303133382969,0.7051039856683222,0.04909715049067328,0.06154106520179236
Sarima,Entite 1,F3,390.2063527740807,0.8082380380398472,0.14951461364212568,0.2093400527155489
Sarima,Entite 2,F3,45.078620373088185,0.6815867780020081,0.11420907897674036,0.1551789511881874
Sarima,Entite 5,F3,380.61011773257064,1.1762639282136647,0.14036332466367607,0.2238113438220012
Sarima,Entite 1,F5,11.945766043675441,0.87023736363775,0.07983066944292215,0.10206859333816115
Sarima,Entite 3,F5,24.805123284660194,1.1820489419472282,0.12987227005915003,0.16456690724552522
Sarima,Entite 4,F5,20.686650098399408,0.8822745835431766,0.1172653691088397,0.16028287101071254
Sarima,Entite 5,F5,1574.8539275288708,1.458877807714687,0.21552849657959744,0.26560840560577165
Sarima,Entite 1,F6,321.6827511586678,1.3353520775933712,0.20100046198505991,0.24224871986372218
Sarima,Entite 5,F6,13.866961190769025,0.7069690464193996,0.07751963333346396,0.09663710364992265
Sarima,Entite 1,F7,3.4681261402705097,0.5139727330055454,0.02762883083346475,0.03523137212765951
Sarima,Entite 3,F7,772.3813784953531,1.7867946982446252,0.23279554879554298,0.29277043260056657
Sarima,Entite 4,F7,12.849876092369858,1.0177887880111247,0.08529629831966365,0.10660640144987578
Sarima,Entite 5,F7,192.12831543016358,1.0638825525951152,0.11699117744527203,0.1567952562244147
Sarima,Entite 1,F1,12.313147166318759,1.243465909128253,0.08987348341864544,0.11979634481484341
Sarima,Entite 2,F1,58.036525456657905,0.8461039893009724,0.11992888940284185,0.14581699280197652
Sarima,Entite 5,F1,3.651631556357291,0.32086620940235755,0.03072082688716434,0.055388992966409555
